model,true_class,margin
RF,1,2.001953125
RF,1,1.474609375
RF,1,2.998046875
RF,1,0.17578125
RF,1,3.330078125
RF,1,0.185546875
RF,1,0.56640625
RF,1,1.826171875
RF,1,2.0703125
RF,1,1.71875
RF,1,2.421875
RF,1,3.505859375
RF,1,1.38671875
RF,1,2.177734375
RF,1,0.283203125
RF,1,3.4765625
RF,1,0.751953125
RF,1,0.947265625
RF,1,0.7421875
RF,1,2.451171875
RF,1,2.822265625
XGBoost,0,0.439453125
XGBoost,0,0.263671875
XGBoost,0,0.302734375
XGBoost,0,1.54296875
XGBoost,0,5.0
XGBoost,0,0.830078125
XGBoost,0,3.720703125
XGBoost,0,0.283203125
XGBoost,0,0.888671875
XGBoost,0,1.484375
XGBoost,0,5.0
XGBoost,0,0.09765625
XGBoost,0,0.126953125
XGBoost,0,0.9375
XGBoost,0,0.068359375
XGBoost,0,1.09375
XGBoost,0,0.37109375
XGBoost,0,0.849609375
XGBoost,0,0.52734375
XGBoost,0,0.322265625
XGBoost,0,0.29296875
XGBoost,0,0.888671875
XGBoost,0,0.732421875
XGBoost,0,0.380859375
XGBoost,0,0.615234375
XGBoost,0,1.923828125
XGBoost,0,0.9765625
XGBoost,0,1.396484375
XGBoost,0,0.517578125
XGBoost,0,0.4296875
XGBoost,0,0.048828125
XGBoost,0,4.23828125
XGBoost,0,0.078125
XGBoost,0,0.52734375
XGBoost,0,4.052734375
XGBoost,0,0.517578125
XGBoost,0,0.146484375
XGBoost,0,2.353515625
XGBoost,0,0.625
XGBoost,0,1.85546875
XGBoost,0,0.3515625
XGBoost,0,0.48828125
XGBoost,0,3.37890625
XGBoost,0,1.34765625
XGBoost,0,1.923828125
XGBoost,1,5.0
XGBoost,1,1.181640625
XGBoost,1,1.650390625
XGBoost,1,1.97265625
XGBoost,1,1.875
XGBoost,1,0.76171875
XGBoost,1,1.54296875
XGBoost,1,2.67578125
XGBoost,1,2.548828125
XGBoost,1,2.3046875
XGBoost,1,5.0
XGBoost,1,4.04296875
XGBoost,1,0.95703125
XGBoost,1,0.576171875
XGBoost,1,0.46875
XGBoost,1,0.8203125
XGBoost,1,1.15234375
XGBoost,1,5.0
XGBoost,1,3.291015625
XGBoost,1,4.951171875
XGBoost,1,0.205078125
XGBoost,1,1.25
XGBoost,1,0.302734375
XGBoost,1,2.646484375
XGBoost,1,1.25
XGBoost,1,0.322265625
XGBoost,1,2.724609375
XGBoost,1,5.0
XGBoost,1,1.58203125
XGBoost,1,1.083984375
XGBoost,1,2.7734375
XGBoost,1,3.203125
XGBoost,1,0.654296875
XGBoost,1,1.689453125
XGBoost,1,1.845703125
XGBoost,1,2.666015625
XGBoost,1,1.103515625
XGBoost,1,2.4609375
XGBoost,1,2.998046875
XGBoost,1,1.23046875
XGBoost,1,2.3046875
XGBoost,1,0.087890625
XGBoost,1,3.173828125
XGBoost,1,0.751953125
XGBoost,1,1.54296875
XGBoost,1,0.99609375
XGBoost,1,2.1875
XGBoost,1,2.265625
