cost_kWh,base_fade,cost_BDT_yr,SoH_loss_final_pct
27132.402472265836,8.371730240077188e-07,31888.52295115099,1.8634148422427865e-07
27803.14340966176,6.948132173096924e-07,27120.20065210017,1.5465444114804772e-07
20546.391254386665,8.207841956711814e-07,23675.29867596091,1.8269359005025627e-07
24518.746977974875,8.231777644908319e-07,28334.97475195559,1.8322636064087e-07
20242.327114900258,7.891152489539927e-07,22424.966440593373,1.7564458301602282e-07
25653.50489318219,8.072421681641993e-07,29072.43954613475,1.7967934874924402e-07
21899.84432485448,8.844554848021081e-07,27192.42468646562,1.9686581273169378e-07
25530.45729304226,8.957583092838613e-07,32105.56865116294,1.9938164282828951e-07
26179.14829715407,7.974890289841373e-07,29309.6854530046,1.7750845410913962e-07
26579.015922409508,8.318699012872359e-07,31040.25178984524,1.8516109291875535e-07
20234.313081176606,9.379955954208325e-07,26645.27407124234,2.0878299519233287e-07
27993.713713321034,6.783147483203594e-07,26657.70170086089,1.5098214269750472e-07
21410.054312590855,6.774731410880354e-07,20362.953906125327,1.5079481422858733e-07
19559.160539291326,6.680668838114459e-07,18344.29740746813,1.4870113001797634e-07
24526.583706158242,8.505162512129689e-07,29285.362440477445,1.8931147572002191e-07
22760.853925079413,7.739546562529215e-07,24730.61953564014,1.722700746830696e-07
27165.981534071165,8.877828531653898e-07,33858.13880320389,1.9760643234268696e-07
26959.214131817298,8.547940522587496e-07,32351.889242895613,1.9026364662523232e-07
22244.533371098067,7.467640826650362e-07,23320.48876985716,1.6621788272994124e-07
28347.83419266955,9.274772951556914e-07,36910.854373532275,2.064417877875125e-07
21992.81124614514,8.840102870626087e-07,27294.11348537273,1.9676671875091338e-07
24144.548440624458,7.265711810912562e-07,24627.945429003772,1.6172326197396006e-07
21657.264869448987,7.565414456870573e-07,23002.0879797312,1.6839416921442623e-07
28186.01827247005,7.406207936653641e-07,29306.270743495963,1.648504836888948e-07
20780.235048787374,6.904357275599998e-07,20142.094968500183,1.536800811128562e-07
19631.141946166357,6.872906792135014e-07,18941.61236821587,1.5298004305616105e-07
23376.931776029163,9.39560788280238e-07,30834.955087496564,2.0913138238608593e-07
28726.805414936036,7.80129291903601e-07,31461.89263946965,1.7364445099321848e-07
27760.101756047174,7.626623432887711e-07,29722.42804935604,1.6975658428416608e-07
26386.63698678671,8.734994267767609e-07,32357.69624936462,1.9442716736789843e-07
27751.60791243384,8.16957780880928e-07,31828.684668382713,1.8184189059168972e-07
27777.087741099487,9.395647957883079e-07,36639.06428849089,2.0913227439404636e-07
24181.04025970991,8.896964780510054e-07,30202.83977279093,1.980323749987548e-07
22232.91889757561,7.933982605198529e-07,24763.87795163052,1.7659791370065367e-07
26611.319348265486,7.604350315138644e-07,28409.22913270595,1.6926081988413842e-07
25551.948126410505,9.55722094375783e-07,34283.611927934835,2.1272863370508917e-07
22787.114197187617,8.696832755211658e-07,27821.553370382804,1.9357775240994014e-07
20106.880013390546,9.44382291201229e-07,26657.74738876083,2.1020457273589903e-07
26369.18026895065,6.779131447094532e-07,25095.83275054723,1.508927520807736e-07
21719.6209528595,9.121707773410503e-07,27813.735726155715,2.0303479883052097e-07
28193.40624512428,8.438636428771864e-07,33400.3296012531,1.8783071024418564e-07
21513.317520054574,6.79014937067236e-07,20507.732427431645,1.5113799364657716e-07
20378.476151150266,8.282425599901506e-07,23695.188942031804,1.8435370407355417e-07
27178.6816523991,8.595508368337436e-07,32796.755441586705,1.9132243169405408e-07
20671.529439595142,6.439368594843529e-07,18687.31140270369,1.433301679605115e-07
20920.975758314296,7.853817477893589e-07,23067.135542185533,1.7481356466208696e-07
24954.074798600097,9.041278435828227e-07,31673.951235208264,2.0124456888874558e-07
27595.79559203966,7.345148881101087e-07,28456.039147953576,1.6349140561175904e-07
21085.772790859904,7.867353861755363e-07,23288.908480199556,1.751148631735642e-07
22179.10725984091,7.815405206617257e-07,24334.72755105172,1.739585682113181e-07
